src,dst
C-3PO,R2-D2
LUKE,R2-D2
OBI-WAN,R2-D2
LEIA,R2-D2
HAN,R2-D2
CHEWBACCA,R2-D2
DODONNA,R2-D2
CHEWBACCA,OBI-WAN
C-3PO,CHEWBACCA
CHEWBACCA,LUKE
CHEWBACCA,HAN
CHEWBACCA,LEIA
CHEWBACCA,DARTH VADER
CHEWBACCA,DODONNA
CAMIE,LUKE
BIGGS,CAMIE
BIGGS,LUKE
DARTH VADER,LEIA
BERU,LUKE
BERU,OWEN
BERU,C-3PO
LUKE,OWEN
C-3PO,LUKE
C-3PO,OWEN
C-3PO,LEIA
LEIA,LUKE
BERU,LEIA
LUKE,OBI-WAN
C-3PO,OBI-WAN
LEIA,OBI-WAN
MOTTI,TARKIN
DARTH VADER,MOTTI
DARTH VADER,TARKIN
HAN,OBI-WAN
HAN,LUKE
GREEDO,HAN
HAN,JABBA
C-3PO,HAN
LEIA,MOTTI
LEIA,TARKIN
HAN,LEIA
DARTH VADER,OBI-WAN
DODONNA,GOLD LEADER
DODONNA,WEDGE
DODONNA,LUKE
GOLD LEADER,WEDGE
GOLD LEADER,LUKE
LUKE,WEDGE
BIGGS,LEIA
LEIA,RED LEADER
LUKE,RED LEADER
BIGGS,RED LEADER
BIGGS,C-3PO
C-3PO,RED LEADER
RED LEADER,WEDGE
GOLD LEADER,RED LEADER
BIGGS,WEDGE
RED LEADER,RED TEN
BIGGS,GOLD LEADER
LUKE,RED TEN
